Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection,acc
SRX14772134,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532352,,2275.32,1,23466297,7086821694,LR100192,WXS,GENOMIC,Hybrid Selection,SRR18670391
SRX14772133,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532351,,10207.62,1,113043045,34138999590,LR100435,WXS,GENOMIC,Hybrid Selection,SRR18670392
SRX14772132,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532349,,9102.71,1,103247700,28684356024,LR100418,WXS,GENOMIC,Hybrid Selection,SRR18670393
SRX14772131,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532350,,4445.58,1,47617620,14380521240,LR100413,WXS,GENOMIC,Hybrid Selection,SRR18670394
SRX14772130,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532348,,4025.84,1,43028132,12994495864,LR100411,WXS,GENOMIC,Hybrid Selection,SRR18670395
SRX14772129,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532347,,3984.05,1,42532280,12844748560,LR100410,WXS,GENOMIC,Hybrid Selection,SRR18670396
SRX14772128,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532346,,3660.8,1,39143250,11821261500,LR100386,WXS,GENOMIC,Hybrid Selection,SRR18670397
SRX14772127,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532345,,3143.23,1,33558499,10134666698,LR100385,WXS,GENOMIC,Hybrid Selection,SRR18670398
SRX14772126,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532344,,3534.42,1,37746937,11399574974,LR100384,WXS,GENOMIC,Hybrid Selection,SRR18670399
SRX14772125,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532343,,3516.71,1,37519368,11330849136,LR100383,WXS,GENOMIC,Hybrid Selection,SRR18670400
SRX14772124,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532342,,4850.94,1,51136855,15443330210,LR100370,WXS,GENOMIC,Hybrid Selection,SRR18670401
SRX14772123,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532341,,1657.23,1,17108406,5166738612,LR100191,WXS,GENOMIC,Hybrid Selection,SRR18670402
SRX14772122,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532339,,4357.81,1,45997752,13891321104,LR100369,WXS,GENOMIC,Hybrid Selection,SRR18670403
SRX14772121,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532340,,5157.51,1,54926878,16587917156,LR100368,WXS,GENOMIC,Hybrid Selection,SRR18670404
SRX14772120,WES of Homo Sapiens: Adults leukocytes,Homo sapiens,Illumina NovaSeq 6000,EXCELsior Pharmatech Labs.,SRP367942,IPAH Central TAIWAN,SRS12532338,,4575.54,1,48464616,14636314032,LR100367,WXS,GENOMIC,Hybrid Selection,SRR18670405
